5,2018년 12월 5일, 제발 2k로 시점 바꼈을때 관중들 안보이는 버그좀 고쳐주세요. 정말 이점 외에는 흠잡을 데 없는 훌륭한 게임이고 너무 재밌게 플레이 하고 있습니다.^^
5,2018년 12월 5일, 카메라를 2k로 설정하면 관중이 사라지네요.. 그리고 관중 설정이 낮으면 관중 퀄리티가 낮은게 아니라 관중 수가 낮아지네요?;; 이것들 빼고는 모두 저번 시즌보다 개선된거 같습니다.
1,2018년 12월 5일, 잘하고있다가 업뎃하고나서 게임자체랙너무심해졋네요 환불해주세요
2,2018년 12월 4일, vc 구매하고 결제내역으로 나갔는데 vc가 안들어왔습니다
3,2018년 12월 6일, 업데이트후에렉이생겼습니다렉좀없에주세요
5,2018년 12월 4일, 드뎌 멀티생겻내요
1,2018년 11월 26일, 해설자 싱크도 안맞고 기존에 있었던 공튀기는 효과음이나 응원사운드 등이 다 누락되어있네요.. 전년도 버전보다 점점 디테일에서 망가지고 있는 느낌입니다. 많이 아쉽네요
3,2018년 11월 8일, 갤9+ 유저인데 발적화인가요? 화면이랑 소리가 따로 노네요... 조작도 어렵고요. 튜토리얼이라도 좀 만들지 입문자인데 너무 불친절해서 괜히 샀나 싶습니다;; 옆동네 EA의 NBA Live는 라이트하긴 하지만 한글화는 물론 최소한 기본조작에 대한 튜토리얼까지 있는데 이건 좀... 다른 건 몰라도 일단 최적화라도 시급하게 해야할 것 같네요..
1,2018년 10월 20일, 포스트업 어디감;; 게임컨트롤도 디폴트컨트롤은 어렵고 쓰던 16컨트롤 쓰려는데 경기마다 바꿔야하고 선수들은 포스트업도 안되서 센터로는 공격도 못하고... 선수들 업데이트 빼곤 18보다 퇴화한거같음
1,2018년 10월 29일, 17부터 돈 써가면서 매 시리즈 다운받고있는데 매번 마이플레이어에서 센터나 포워드는 즐길수가없네요 박스아웃 하는맛이라도 있어야지 어버버 골밑에서 자리 다 뺏기고 리바 풀능력치 찍으면 뭐해요. 혹시나해서 힘도 풀능력치 찍어봤는데..시간아깝... 스토리모드 제외하면 전 시리즈 대비해서 크게 달라진것도 없네요 비추비추
5,2018년 10월 18일, 로스터가 왜 이 모양이조. 좀 심한것 같네요. 다른건 다 마음에 드는데 빠른 시간 내에 로스터 신장프로필이랑 없는 선수들도 반영해주세요. 그리고 빅맨들 3점슛 시도율도 좀 올려주세요 현실 반영해서요 그러면 감사하겠습니다
1,2018년 10월 17일, 버튼 사이즈 왜 고정인지 설정에 바꿀려고 해도 바꿀수가 없음 그리고 피씨판은 한글인데 왜 한글이 아님? 기대많이 했는데 많이 실망임
2,2018년 10월 20일, 일단 로스터 업데이트를 빨리좀 해주세요 지금 현재 nba로스터와 전혀 맞지않습니다. 그래픽은 18과 비슷한것같고 조작은....
