5,2016년 12월 16일,게임은 최고네요 현재 더 룸 1 2 3를 구매하여 플레이하고 있는 플레이어입니다. 그래픽이나 스토리가 너무 알차고 재밋어요! 다만 게임상 오류로 인해 플레이도중 멈춰 있습니다ㅠ 오류 한번만 확인해주세요..
5,2016년 9월 16일,1.2에 이어 최고네요 추석이나 크리스마스때 세일할거 같아서 위시리스트에 올려두고 기다렸던 보람이 있네요! 1.2편 하신 분들이라면 헤매지 않고 할수 있을 난이도이지만 노멀엔딩 깨고나서 부터 헤매는 나는 뭐지 ㅋㅋ 새로운 엔딩 하려는데 막힙니다. 왜 중앙 추는 움직이지 않을까요. 여튼 더룸 천재들이 만든 게임!
5,2017년 5월 28일," 이거 엔딩이 4가지 버젼인것 같은데 맞나요? 5시간 47분 걸렸네요ㅠㅠ1,2보다 훨씬 어려워졌고 방이 연결되어 있어서 그거 왔다갔다하는 시간이 많이 걸리네요. 한글판 안나와서 스토리는 100프로 이해못했지만 역시 고퀄입니다!!! 4도 나왔으면~~~"
5,2016년 11월 17일,뭐라해야 이게임을 표현할수있을까 한편의 영화네요 ....  돈이 전혀 안아까움 거의 끝나갈때는 끝나면 뭐하나 걱정하면서 진행했네요 .. 빨리 다음꺼도 나왔으면 좋겠에요
5,2017년 7월 4일," 왜 한국어 지원 안해주나요?....1,2 둘다 구매하고 재밌게 했는데...서운하네요. 하지만 3도 재밌습니다. 여러분 후회하지 않을 선택입니다.ㅋㅋㅋ아니 이거 이상한 후기네. 이전 시리즈처럼 아시아도 지원해 주셨으면 좋겠어요."
5,2016년 8월 18일,"여전히 명작 더 룸1,2에 이어 세번째 시리즈도 여전히 명작임에 분명하네요. 멀티엔딩 시스템도 재미있구요. 하지만 첫 엔딩이후 이방 저방을 떠돌아다니며 퍼즐을 풀어 나머지 세개의 멀티엔딩에 도달아야하는 과정이 살짝 지루합니다. 첫엔딩 이후론 퍼즐 퍼포먼스를 스킵하는 기능이 있었으면합니다. 아니면 멀티엔딩에 따라 퍼즐전개를 달리 했으면해요. 인디게임임에도 불구하고 기괴하면서 미스테리한 분위기, 호기심과 신비감을 북돋는 내용, 독특한 발상을 지닌 퍼즐들과 난이도까지 최고의 게임입니다."
5,2017년 2월 14일," 뭔가 실마리가 더 남았는데 엔딩이어서 당황했는데, 다른 엔딩이 또있었네요. 허허...어쩐지 전 작품들보다 비싸더라니... 다른 엔딩도 깨 봐야겠어요. 진짜 재밌어요!"
5,2016년 10월 21일,할말잃음 튜토리얼도 다 진행안햇는데 지리고 평점주러옴 저 원래 이런거 쓰는사람이 아닙니다
5,2017년 5월 21일, 모든 엔딩을 보기까지 6시간 반이 걸렸습니다. 공략을 보신다면 더 짧아질 수도 있겠지만 어찌됐든 4천원 정도를 투자할 가치는 차고도 넘칩니다.
5,2016년 8월 14일,말이 필요 없음. 1편 해보고 연달아 3편까지했네요.게임과 영화를 동시에 즐기는듯한 정말 멋있기까지한 게임임 돈 한개도 안아까워요. 더 있으면 계속 했을겁니다 ㅎ 소장 가치도 100% 고 그냥 한번 믿고 해보셈 ㅋㅋㅋ 1편부터 쭉 이어서 하는 자신을 보게 될거임
