5,2018년 12월 6일," 이 게임을 2014년?? 쯤 부터 시작해서 지금까지 재미있게 플레이 하고 있는 유저입니다!! 요즘 게임들은 오래가야 1년? 정도 밖에 안가는데 슈퍼셀에서 만든 게임들은 전부 명작으로 남아 1년 넘도록 오래 가는거 같내요..👍 좋은 게임, 갓겜인거 같아요!"
5,2018년 11월 18일, 세번쨋분 훈련소는 하나만 업글해도 된다 하셨는데 훈련소 특정 레벨 갯수 늘어날때마다 훈련시간 줄어드는 건 모르시나 봐요? (그러니깐 훈련소 레벨 7 1 1 1 이면 법사 뽑는데 2분 걸리지만 7 7 7 7 이면 30초 걸림) 제가 플레이한 게임 중에 제일 중독성 있고 재미있는 게임입니다. 무과금으로 재미있게 플레이중입니다^^
5,2018년 11월 16일, 훈련소가 아쉽습니다. 훈련소 갯수는 수없이 많습니다. 하지만 유닛훈련은 하나로 통합되어 다른 훈련소 에서는 다른유닛을 소환할수 없습니다. 그래서 각 훈련소마다 같거나 다른 유닛을 훈련시킬수 있게 해주셨음 합니다.
5,2018년 11월 27일, 안녕하세요 저는 클래시오브클랜을 하는 유저입니다.요즘에 일렉트릭드래곤이 나오니 정말 좋네요.퀄리티가 옛날보다는 훨신 좋아졌어요^^ 앞으로도 재미있는 클오클이 되기를...
2,2018년 11월 21일, 얼마전부터 제 계정에 다른 플레이어가 해킹해서 이것저것 다 설치해놓고그래서 복구 겨우 했는데 또 그러네요 한번도 아니고 두번씩이나!!! 이런식으로 하면 겜 못하겠네요 댓글 냄겨주세요 꼭
5,2018년 11월 16일," 가 좋은데 바바, 아처, 고블린 6렙되도 너무 약하네요....ㅠㅠ 공격력은 됬으니까 채력만이라도 상향 좀...대포 한 방 짜리 쓰래기라고 클랜원들이 욕하는데...ㅠㅠ"
5,2018년 11월 27일, 금일 갑자기 멀티플레이에서 시즈머신 선택이 안됩니다. 지원받은 시즈머신 또는 본인 시즈머신 또는 시즈머신 사용안함을 선택 할 수 있었는데 갑자기 그게 안됩니다 오로지 지원받은 머신만 사용되게끔 되어버립니다. 부계정도 역시 같은 현상입니다. 아무래도 버그 같아보입니다.
5,2018년 11월 29일," 클랜전 리그의 미스매칭이 너무 심하네요... 공격 기회는 한 번밖에 없는데, 공격할 수 없는 경우가 많아서... 매칭 시스템을 바꾸던지, 공격기회를 2회로 늘리던지 해야할 듯 하네요..."
5,2018년 11월 18일," 아이디찾는데 열심히 도와주신 헨리님, 레비님께 너무감사드리며 ! 그래픽이 너무좋다보니 렉이걸려요 ㅠ 그래픽을 최하. 하 중 상 최상. 등급으로 나눌수잇게 해주세용"
5,2018년 11월 24일, 아니 ..전설 리그 진입해서 서칭하는데만 최소 10분이상 걸리는데? 해결방법 없어요? 트로피를 다시내려야 하나요? 답답해서 겜을 못하겠네ㅜ
