5,2018년 12월 4일, ﻿이렇게 핫한 소개팅앱 써본거는 오랜만입니다 ~. 새로운사람 그리고 다양한 사람 덕분에 항상 재밌게 소개팅 즐기고 있어요 . 저번에는 소개팅하다가 좀 대화 잘통해서 만남도 해보고요 ㅋㄷㅋㄷ ~ 앞으로도더좋은 사람 많이 만납 볼 수있게 좋은 서비스 잘 부탁드리겠습니다 별점 1점 드려요 이렇게 핫한 소개팅앱 써본거는 오랜만입니다 로운사람 그리고 다양한 사람 덕분에 항상 재밌게 소개팅 즐기고 있어요5637
5,2018년 12월 5일, ﻿제가 해 본 카카오 게임중에 최고입니다 댓글중에 게임 로딩 시간 고치라 이런거 있는데 원래 2537인에서 게임하면 기다려야하는게 정상 아닌가요?? 핸드폰 기종마다 속도가 다른건 당연한건데.. 그리고 현질 안하고도 업적달성을 해서 충분히 좋은 차랑 캐릭터를 얻을 수 있는거같아요 ^^
4,2018년 11월 20일, 일단 이 게임진짜 잘만드신것같고 재밌어요 어디에서나 할수있고 심심할때 플레이하기 좋아요. 하지만..광고가 너무많은것같아요 리뷰를 살펴보니 저만 그런게 아니네요..진짜 게임 잘만드신 것같은데 게임 4~5판정도 할때마다 규칙적으로 광고가 많이 나와서 플레이하다가 광고떼문에 짜증나서 광고가 나오는 즉시 꺼버리고 다른게임을 하고 싶을때가 많이 있는것 같아요 쓰다보니 리뷰가 상각보다 길어졌네요..ㅎ 그래서 결론적으로 광고를 없애주셨으면 해요
5,2018년 12월 2일," '헬릭스 점프'는 친구가 하게 되어서 알게 되었는데요, 예상보다 재미있더라고요. 바깥에서 할 일이 없을 때는 언제나 휴대전화를 잡고, 이 게임을 키게 되는 것 같아요. 정말 재미있기는 한데, 광고가 너무 많이 나와서 집에서 헬릭스 점프를 할 때도 언제나 와이파이를 끄게 되네요... 뭐 그것도 장점이라면 장점같아요. 재미있는 게임 만들어주셔서 감사합니다!"
1,2018년 11월 18일, 저는 이게임을 즐겁게 하고 있는 유저인데요 너무 광고가 많이 나와서 그런데 광고를 없애주시지는 못하시겠지만 조금이라도 줄여주시면 안될까요? 게임하는 시간보다 광고보는 시간이 더 많아서 그럽니다. 제발 부탁드릴께요.
1,2018년 12월 2일, 렉이많이 걸리고 최신폰인데 15년 된 핸드폰같이 너무 구려요. 그리고 광고는 틱톡광고(고양이송)가 자주 나왔는데 게임에서 가장 심한 것은 게임광고입나다. 게임광고가 렉이 걸리거든요. 게임광고를 100% 없애주시고 틱톡광고를 100% 표출시키고 평생 지속되게 해주시고 렉을 많이 줄여주세요. 그렇게 하편 최고점수를 많이 점수줄게요.
5,2018년 11월 18일," 이거 진짜 갓겜 입니닷! 여러분 제가 광고 안 나오게하는 꿀팁 알려드릴까요? 이거는 와파를 끄고 해도 실행은 되는 게임 입니다. 그러니 와파를 끄고 하면, 게임은 실행되지만, 실시간으로 뜨게 되는 광고는 와파가 없으니 안 뜹니다. 게임 실행중이시라면, 와파를 끄고, 처음부터 다시 시작하시면 됩니닷! 유용하게 이용하세여ㅎ"
5,2018년 11월 25일, 광고 많이 나오신다는 분들 와이파이 끄세요.그런데도 나오면 데이터를 킨거에요.이 겜 갓겜입니다.뭐 와파끄면 부활이 없긴 하지만...어쨋든 갓겜은 갓겜입니다.근데 가끔 버벅 거리는 렉이 있더라고요.그런것만 조금 수정해주시면 되겠습니다
1,2018년 12월 3일, 광고너무많아요게임끝나면광고또끝나면광고짜증나요아무리와파필요가없어도광고가많잖아요? 와파없어도광고나름대로나와야겠죠? 이거좀수정해주세요;댓보니가좋은뎃만이없고광고많다는이야기많네요;;당장수정해주세요 아님신고할께요;좋은댓들도없고외국인이만들었어도답글으적어줘야되잖아요;;
5,2018년 11월 24일, 광고 이겨내는 꿀팁! 1 집에 와이파이 터지죠? 근데 왓파를 잠깐끄세염 2데이터도 꺼주세욤 ㅎㅎ 3게임을 하면서 한...2~3번 정도?하다가 죽으면 와이파이를 키세요 4그러면 광고가 안나와용((하나도 팁! 단 살아나는 광고는 나와요 5제가 발견한 꿀팁입니다 6재밌는 플레이 하세여!!
