3,2017년 12월 26일," 추억의 게임 좋네요. 그런데 직원들 움직임이 영 아니에요. 특히 수리공들... 놀이기구 내구도도 들쭉날쭉이에요. 어떤 건 60%쯤 수명 다하는데 어떤 건 85%인데도 스탑돼서, 놀이기구 많아지면 부수고 다시 짓고 하느라 공원 운영에 신경을 못쓰겠어요. 돈은 잘 벌어 그나마 다행...내구도만 적당히 수정돼도 할 만하겠네요."
5,2018년 4월 23일," 샌드박스 모드는 툴킷 구매하면 가능합니다. 그리고 도트 게임이 아닌 3d 그래픽을 캡쳐해서 2d로 옮긴거구요. UI나 최적화 등 이식은 
완벽한 수준이고 전체적인 난이도 조절까지 되어있습니다. 유저 친화적으로 가속 기능도 지원하여 완성도가 더 높아졌습니다."
5,2018년 1월 20일, 제가 원하던 게임을 그대로 담고 있어서 좋습니다. 롤코타도 처음 접했을때 영어로 했었기에 딱히 거부감은 안들더군요. 또 맵도 엄청 많아서 대여섯 하다가 귀찮아서 안한지 4달이 넘었네요. 앞으로도 안할거 같습니다. 굉장히 재밌습니다! 다운 받을 돈이 아깝지 않습니다. 지금 바로 설치하세요!
5,2018년 2월 4일, 예전에 하던 거랑 똑같이 플레이할 수 있어서 너무 재밌어요. 그런데 건설한 놀이기구 파괴할 때 같이 설치된 장식도 제발 같이 사라지게 해주세요. 그거 다 하나하나 삭제하려니 힘들어요 ㅠㅠ 그리고 영토 살때 드래그해서 한 번에 살 수 있게 해주세요 그것도 한 개씩 클릭하려니 너무 힘듭니다 ㅠㅠ노가다 ㅠㅠ 그거 말고는 넘 재밌고 좋아요!!!!! ♡
5,2018년 1월 21일, 영어 대충이라도 알게되면 재밌는게임... 근데 문제가 고장이너무 잘남... 정비공을 불러서 수리하게 되면 딱딱 맞춰야하는게 좀 불편한감이 있어요
4,2018년 5월 7일," 놀이공원입장객과 직원의 인공지능이 정말 비효율적입니다. 건축에 있어 번거로움이 많은 것은 롤코타 시리즈 특유의 문제점이라 이해는 
하겠지만, 버그들하고 인공지능 문제 때문에 유료 버전의 경우 난이도가 엄청 어려워지는군요."
4,2017년 12월 24일, 옛추억이 살아 잇네요. 영어로 되어 잇어... 좀 아쉽네요.....  게임 하기에는 전혀 지장이 없지만 그래도 한국 사람이기에 한글버전이 나왓으면 합니다. 한글버전이 나온다면 별 다섯개짜리 게임 이네요.
4,2018년 10월 17일, 개선바란다 1.한글화 바란다ㅡ모국어가 더 와닿는다 2.여자 손님 추가 바란다ㅡ게이타이쿤임? 3.인공지능 발달 바란다 4.입장료랑 기구 이용료 내맘대로 하고싶다ㅡ왜 PC버젼이랑 다르냐
5,2017년 12월 31일, 공원가치 어떻게 올리나요... ㅠㅠ 공략좀.. 공원가치 맵 몇 판째 해도 30만이 안되서 못깨고 있음 흑
1,2018년 5월 28일," 와 무슨 페이지는 한글로 꾸며 놓고 게임은 받아보니 영문판입니까? 다운 완료 할 때까지 이거 영문판이라는 고지도 없고 환불해달라고 해도 
2주째 대답도 없네"
4,2018년 7월 21일," 완전 좋아하는 게임이라 열심히 하는중인데 갑자기 어제부터 멈추더니 그래픽이 이상해졌습니다 크게 확대해야지만 선명하게 보이고(너무 
크게확대해도 그래픽이 깨짐) 원래는 작게해도 어느정도 그래픽은 좋앗는데 지금은 예전같지 않네요..."
