4,2017년 8월 14일," 모든 부분이 좋았어요. 다만 게임 속도를 올릴수록 음높이도 덩달아 높아지네요.. 이 문제만 고친다면 더욱 완벽해질 것 같습니다.  Everything is so good. But, as the game speed increases, the pitch becomes higher... If this problem is fixed, this app will be even more perfect."
4,2017년 11월 26일, 유료인 만큼 게임플레이는 잘 돌아가요 근데... 퀵세이브 여러번하다보면 멈추는 경우가 있습니다... 이런 문제점이 생기니 다소 불편하는데 얼렁 버그를 고쳐주었으면 합니다
5,2017년 5월 27일," GBA, GBC 모두 My Boy를 따라올 에뮬레이터가 정말 단 하나도 없는듯하네요"
4,2018년 7월 5일, 스피드조절안되요? 포켓몬스터 노말스피드는 너무느리고 속도올리면 너무빨라서 불편해요
4,2018년 2월 17일, 다좋습니다 포켓몬하는데 빠르기 조절이가능하나요 너무빨라서요
5,2017년 9월 18일, 5500원의 가치가 있는 에뮬입니다. 감사합니다.
3,2018년 6월 4일, 한글지원해주세요. 절실합니다.
5,2018년 7월 11일, Green Filter Please!!
5,2017년 9월 10일, 최고의 구동앱
4,2016년 8월 28일,대박이네요.아쉬운점 한가지.. 지원되는 파일형식중에 7z가 안되는게 좀... 이게 압축률이 좋아서 용량면에서 좋은데 아쉽네요.
5,2016년 5월 30일,화면삑삑돌아가는데ㅡㅡ 이거화면고정같은건못하나요_-
3,2016년 4월 24일,"게임을 닫아도, 닫은 시점부터 진행됨 그래서 한글화를!"
3,2016년 8월 18일,이거 환불할래고하는데 삭제를 했어요. 안삭제돼요
5,2015년 3월 12일,필터효과가 특히맘에들었지만 필터효과 좀 더 많았으면 좋겠어요 다른 인터페이스는 편한것이 참좋은것같아요
5,2015년 12월 12일, 너무 좋습니다. 버벅거림 따윈 없고 잘 돌아가네요. my boy!도 추천드립니다.
5,2014년 3월 28일,VERY GOOD Such a nice~
1,2016년 10월 16일,환불안됨 환불해주세오
1,2017년 1월 11일, 환불 다시 안되나요?
