1,2018년 11월 2일, 앤ㆍ 진짜 이거 하볼라니까 완전 조작도 안되고 회살표도 안보이고 계속 화면터치하니까 구매 창뜨고 그리고 겨우됬다 십으면 또 띡띡 소리만나고 플래이가 안ㆍ듸!어 쫌 씨x
5,2018년 11월 11일, 오류가 너무 많고요 광고도 너무 많아요... 보상으로 상자를 주는데 솔직히 광고보고 까는건 점 아닌것 같아요.... 한판 끝날때미다 광고보고..그래도 이건 참을 만해요 근데! 오류가 너무 많아요 예를들어 갑자기 튕긴다던지 아니면 갑자기 화면이 멈춘다던지 이것만 개선해주시면 더 재미있는 게임이 될것 같아요
1,2018년 11월 26일, 이거 하지마세요 ㅋㅋㅋ 완전 광고게임이네요 게임자체는 나잡아잡숴 수준입니다 그냥 한판끝나면 광고 상자열래도 광고 뭐좀하려하면 광고.... 거리대충마추고 적근처에 포탄떨어트리면 ㅋㅋ 적탱크가 그위치로옮겨옵니다. 담턴에 각도?파워? 조절필요없이 파이어버튼한번이면 겜끝나도록 되어있고 끝나면어김없이광고입니다 ㅋㅋㅋㅋㅋ
3,2018년 11월 22일," 너뮈랙이 심하게걸려요 . 재미는 있는데 하다보면 나가져서 재미도 뭐고 다 생각이안나요 짜증만 나고, 진짜 재미있는데 제발 랙좀 고쳐주 세요. 그것만 없에면 정말 완벽한 게임이에요. 그리고 우승을하면 상자를 주는데, 광고를 보는건 좀 아니지읺나요? 또 상자를 열어서 돌리는데 왜 하나가 뽑히면 그 뒤에께 뽑히죠? 재미있지만 정말 화가나네요. 랙이라도 꼭 고쳐주시길 바랍니다."
1,2018년 11월 20일, 업데이트 이후로 많은 기기들이 지금 탱크스타가 실행이 안된다고 하고 있는데 오류 언제 수정 해주실 건가여..? 많이 기다린거 같은데 그덩안 한게있어서 안지우고 있거든요? 데이터 날아갈까봐
3,2018년 11월 10일, 왜 업뎃후부터 화면이 탱크밖에 안뜸? 친구 소개로 전부터 재밌게 플레이 하고 있었는데 갑자기 갑분싸 만드면 어쩌자는거임? 제발 빨리 고쳐주셨으면 좋겠군요
2,2018년 11월 11일, 아니 온라인으로 뜨면 선방을 안주면서 어떻게 쳐 이기라는건지 진짜 헤벨이 낮은 사람한테 선방 줘야 되는거아님??? 왠만해서는 내가 이런거 안쓰는데 화살표도 정확히 놨는데 다른곳으로 가며는 어쩌자는건지
1,2018년 12월 4일," 와.,머 이런 사기겜 첨봄 리뷰 첨남김, 겜접속후 한판할라니 ?주후 주당8천원 자동결제창. 껐더니 자동한판 컴이랑연결. 종료도안뎀 혹시나 3판 컴이랑 되도안는각도껨 했는데 종료안되서 강종함 이거 레알 사기."
4,2018년 11월 22일," 제작자님 게임은 정말로 재밌습니다. 다만 한 판이 끝날 때마다 계속 광고가 뜹니다. 게인적인 생각으로 광고가 너무 많다고 생각합니다. 또한, 상자를 깔 때마다 광고를 보는 것도 조금 심각하다고 생각합니다. 광고를 4~5판에 1번 뜨게 해주시고 상자를 깔 때도 광고를 안보게 해쥬시면 정말로 감사하겠습니다. 다시 한 번 이런 재미있는 게임을 만들어주셔서 정말로 감사드립니다."
2,2018년 11월 2일, 업데이트후 4번째 탱크와 파란 배경밖에 안보이네요 하루에 한번은 꼭 하는 게임이데 오류가 나서 하질 못하네요...ㅠㅠ 정말 재밋게 했는데..빠른 시일네에 고쳐주시길을 바랍니다
