2,2018년 11월 17일, 미션이 10개밖에 없다는 거랑 카메라 회전 할때도 조이스틱 같은게 있어서 불편함이 없지 않아 있습니다. 타게임은 그냥 회전하면 되는데 이 게임은 조이스틱으로 회전해서 불편함감이 있습니다. 또한 게임 한판하고 끄고 나서 다음날 로딩중인걸 뜻하는 뱅뱅이만 뜨다가 오류뜹니다. 또한 난이도도 그냥 건물위에 사람있으면 죽이고 건물위에서 있다가 밑에 있는 애들 한명씩 있는 애들만 죽이는 방식으로 하면 너무 쉬워집니다. 무슨 경비병이 옥상에 있는 사람은 의심을 안함니까? 그것도 같은 옥상에 있는 사람이 말입니다. 또 건물 넘는거는 들키지도 않고...전체 리뷰미션이 10개밖에 없다는 거랑 카메라 회전 할때도 조이스틱 같은게 있어서 불편함이 없지 않아 있습니다. 타게임은 그냥 회전하면 되는데 이 게임은 조이스틱으로 회전해서 불편함감이 있습니다. 또한 게임 한판하고 끄고 나서 다음날 로딩중인걸 뜻하는 뱅뱅이만 뜨다가 오류뜹니다. 또한 난이도도 그냥 건물위에 사람있으면 죽이고 건물위에서 있다가 밑에 있는 애들 한명씩 있는 애들만 죽이는 방식으로 하면 너무 쉬워집니다. 무슨 경비병이 옥상에 있는 사람은 의심을 안함니까? 그것도 같은 옥상에 있는 사람이 말입니다. 또 건물 넘는거는 들키지도 않고 난이도 조정이 필요합니다
1,2018년 11월 27일, 한번밖에 안했는데 겜이 기본화면에서 돌아지가 않네요.. 정말 돈이 아깝네요 원레 어쌔신 크리드를 좋아하는데 이건 아니지 않나요? 환불해주셨으면 합니다
2,2018년 11월 12일," 움직임이랑 파쿠르도 답답하고, 비싼돈 주고 샀는데 미션 10개라니 너무하네"
1,2018년 11월 24일, 계속 연결중이라면서 겜 실행 안됨... 산지가 꽤 됐는데 처음에만 돌아가고 나중엔 안됌 환불해주셈 당장
1,2018년 11월 29일, 게임접속할때마다 초기화되서 처음부터시작해야합니다. 이번이두번째입니다. 확인해주세요
1,2018년 11월 8일, 이거 버리고 리벨리온이나 잘만들어주세요. (이건 이미 망한것 같지만.....)
4,2018년 11월 28일, 나머진괜찮은데 갑자기 버튼이 않 눌려지고 갑자기 튕겨서 조금 불만이 있습니다
1,2018년 11월 9일, 업데이트 버그 수정좀 제대로 해줘요
1,2018년 11월 15일, 저만 게임 실행이 안되는데요
4,2018년 11월 13일, 게임수준이 높네요
1,2018년 12월 4일, 야 장난해?
5,2018년 11월 24일, 와 너무 꿀젬 기데겜 1위
3,2018년 11월 12일, 재미지네
5,2018년 11월 24일, 굿
1,2017년 1월 13일,최악. 게임을 즐기는 것도 매우 한정되어 있음. 기본 캠페인에는 미션이 고작 10개로 한두시간이면 모두 클리어. 그 후엔  계약클리어 하면서 했던 거 반복하면서 아이템 업그레이드 시키는 것 뿐.   최악 구매하고 하루만에 삭제.   게임최적화 상태도 최악
