3,2018년 10월 16일," 다 좋습니다. 이벤트, 컨트롤, 그래픽 등등 다 좋은데 문제가 하나 생겼어요. 챕터4에서 크레이븐이랑 싸우다가 갑자기 앱이 중지되는 버그가 있습니다. 제 폰이 삼성 갤럭시 A5고, 돈주고 정식으로 샀는데... 이런 버그가 생긴다는 것은 게임 자체에 문제가 있는 것 아닙니까? 아무튼 이 버그때문에 지금 게임진행이 안되고 있습니다. 빨리 고쳐주세요."
5,2018년 11월 2일, 아니 무슨 알이 20개도 아닌 100개는 심하지 안나요? 그리고 슈트 업그레이드 기능 추가좀 그리고 거미 폭풍 스킬 쓰다가 자꾸 주먹 부터 날라감
1,2018년 12월 4일," 아니 업데이트한후 새로나온 앤드오브 디 어스 스파이더맨 슈트 샀거든요? 그런데 계속입다질려서 다른슈트로갈아입었어요 그런데 상점에 다시 들어가보니 제가 산 슈트가 없어요 아니 슈트자체가 그냥 사라졌어요. 이게 뭔 시추에이션이죠? 그리고 댓글들을보니 저말고도 다른유저들분도 피해가 있군요. 이거 진짜 빠른시일내에 해결 안하면 게임로프트 신고합니다. 이건 협박이아니라 경고입니다, 정신차리세요."
5,2018년 11월 27일, 안녕하세요. 유튜버분들이 하시는걸 보고 결제하면서 플레이 해보고 싶었는데 타격감도 좋고 결제해도 아깝지않은 후회안할 게임인거 같습니다. 정말 영화처럼 잘 만드셨네요. 감사합니다.^^
5,2018년 10월 14일, 제가 no현질로 라이노 깻는데 진짜로 할게없어요 최종보스깨면 그래서 업뎃될때까지 방치 게임이 되요 그래서 기꺼이7000원 주고 삿는데 열심히 돈벌고있는데 더이상 살 것도 없어서 최종보스 깬이후로도 할수있는거 많이 추가해주세요
5,2018년 10월 23일, 애들아 ㅋㅋㅋ 진짜 궁금해서 그러는데 다 해놓고 뒤에 재미 없다고 환불해 달라는 건 머야 개웃기네 진짜 ㅋㅋㅋ 지들 할껀 다 해놓고선 좀 하다보니 재미 없네 ? 그래서 바꿔 주라 한다곸ㅋ ㅁㅊ. ㅋㅋㅋ
3,2018년 11월 28일, 재밌긴 한데 챕터 3 실환가요 ㅅ..욕나올 것 같아요 이미 나왔지만요 좀 쉽게 만들라고요..........이것만 고치면 5점.. 솔직히 너무 어렵고 하라는 게임이 아님
5,2018년 11월 23일, 흠...저는 보스를 잡고 그러는것도 좋지만 약간 놀 수 있는거없나요? 뭐 사람(특정) 죽여서 돈을 얻어서 무기를 사는(gta비슷하게) 그런 모드도 만들어주세요... 플레이 안하고 환불 되겠지 하고 다운받았는데 환불 안되는건 어쩔 수 없으니 이런 사항좀 받아주세요
4,2018년 12월 1일, 배놈할때 피하는 거 있잔아요 거기피할때 안피해지네요..... 잘 피하게되면 별다섯개게임입니다... 버그수정부탁합니다
3,2018년 10월 10일," 후반부로 갈수록 극심해지는 난이도, 개떡같은 판정 격투시 불편한 시점 과금유도 등 때문에 많이 불편하네요"
5,2018년 10월 12일, 진짜 재밌다 고 확인버튼 떠서 눌러도 작동이 되지를 않아요. 돈받고 게임도 못하게 하는게 이딨어요.
5,2018년 11월 21일, 개임좋구여 쌔일할때빨리사시구여 안좋은점있음 그렇구나..하시면좋구여 악성댓글필요없구여 현질요구하는건맛긴맛구여 즐겜하세여~~^^
5,2018년 10월 20일, 와 이런게임 좋습니다 제가 좋아하는 스파이더맨 스파이더맨으로 게임을 되게 잘만들었습니다 옛날에는 별로였는데 정말 진화했네요
1,2018년 11월 19일, 제작자님 저도 이러긴 실은대 환불할수박에없네요 제가 핸드폰을 바꾸고 구글 계정 다시로그인하고 게임을 다운받을려그랬는데 계정이초기화됐어요 제가심비오트옷도샀는데 다날라갔어요 제발 환불해주세요
5,2018년 10월 24일, 제가 어메이징스파이더맨2 영화 보면서 이거 해봤는데 영회같은 장면 은 없지만 스파이더맨 시리즈 다보고 플레이 하니까 재밌어요!!!
5,2018년 11월 10일, 랙이너무 많이 걸리고 보스잡기가 힘들고 이상하니깐 환불 해주세요 게임도 환불하면 지울게요 그리고 저 한15분봤게 안했으니깐 꼭 환불해주세요~그리고 저갈 깐 거아니라서 환불 해달라고 하는거예요꼭꼭 환불해주세요 그리고 별5개 해들릴거니깐 꼭 환불해주세요~안하연😭😭
