1,2018년 8월 26일," 와~잠깐만요…이거 리뷰 남길때 첫번째 물음이 ""날 행복하게 하나요?""였거든요.진짜 소름돋네요. 이건 게임도 아닙니다.이렇게 귀여운 인형을 때리고 고문하다니 말이 됩니까?게다가 이게 7세이상이라니요.제 동생이 이게임 하다가 울었습니다.당장 지우세요."
1,2018년 8월 15일," 게임보다 광고가 더 많이 나오네요. 그러면서 아이템은 메우 비싸요.이따위로 만들거면 만들지 마세요. 그리고 이정도로 잔인한 게임이 
7세라는 것도 말이 안돼요 이런부분 수정 안하시면 저 진짜 이게임 신고 할거에요.그리고 제가 이말은 진짜 하기 싫은데 이런게임 
만드실거면 게임 만들지 마세요."
1,2018년 9월 14일, 아니 어떻게 이렇게 잔인한게임을 7살미만이라고 헐~~ 어이 없어 댓글 말 들을걸ㅠㅠ 아니 제 동생이 7살이라서 말을안들어서 스트레스 좀 풀려고 깔았는데 이건 정말아니라고 생각합니다. 솔직이거 하면서 기쁜사람사람이 아님
1,2018년 8월 12일," 아니 어떻게 게임을 이따구로 만듬? 아니 잔인한 데다가 아이구7세 이상? 아유 님 술취하고 게임 만들었음? 게다가 로그인도 잘 안되고 
튕기는 데다가 자꾸 하얀색 바탕 뜨는거 뭔데? 구닥다리 기능 총 집합한 게임이네 내가 너무 착해서 별 1개 준다 고마워해라"
1,2018년 10월 13일, 진짜 ㅁㅊ??아니 7살때부터 이런걸 할 수 있게 만들어 놓으면 어떻게할거임.. 진짜 에들 싸이코로 만들려고 작정함?그리고 사람이 맞아도 죽는데 인형한테 하고 죽으면 쓰레기통에 버리고 게다가 이거 광고 쳐먹을려고 만들었냐? 광고 오지게 많이나오네
1,2018년 8월 7일," 이거 들어 가면 팅귀고 드디어 들어왔는데 이젠 또 멀누르라고 해서 누르니깐 렉 걸려서 팅귀고 짱. 별로 잎니다. 참고로 와이파이 매우 
강함이고 하도 안되서 데이터까지 켰음니다. 깔자 마자 지웠음니다. 그리고 이 게임이 왜 인기 2위인지 모르겠음니다.그리고 마지막 전부 
거의다 별한개 든데..."
1,2018년 10월 6일, 제가 왠만하면 별 개 주는데 계속 께쏙 중지가 떠서 기다리고 또했는데 안되는거에요? (문의 했는데도 답이 안오고..)그래서 지웠다깔고 했는데 계속 안되서 그트레스릉 더 받았네요 다시는 이게임 안합니다
1,2018년 10월 7일, 안녕하세요 제가 10살인데요 석궁을 밑에서 잘 쏘면 고×에맞습니다 그리고 왜 만 7세입니까!!!그리고 이게임으로 스트레스 푸시지 마시고 차라리 배개를 때리시는게낮습니다
1,2018년 8월 10일," 제가 이 게임을 하곤 정말 충격받았습니다.어떻게 제 학교 요리 방과후 형을 연쇄실인마로 만들 수 있죠?당신이 이게임속에 들어가 이 
인형처럼 최악의 고문을 할 수 있죠?플레이 스토어에서 당장 폐겜 하세요 알았죠???!!!"
1,2018년 8월 5일," 사람을 막 때려봤어 어!? 자기가 한번 이겜에 들어가서 두들겨 맞아봐라 그리고7세7게가하면 미래를 완전 살인마가돼버려 피를보려고 
하는겜완전싫어 난살인마가 돼기싫고 지옥을가기도싫어 피를보려고하면 완전 싸이코패스야 이런겜 을 왜7한테할수있을까? 님들인정?"
1,2018년 9월 16일, 사실 이 세상엔 나쁜사람 밖에 없다..이딴거 만드는 사람부터가 잘못 된거고..아무리 화가나고 스트레스 받아도 이렇게 사람 때려서 풀면 마음도 답답하고..솔직히 따라 배운다..이딴거 얼른 지우는게 낫지 않겠니?이거 솔직히 좋다고 한사람..만든사람..못됐다
1,2018년 11월 18일, 너무 잔인하군요. 제정신인겁니까? 과연? 어린야들도 하는데 심신적으로 피해가 간다고는 생각되지 않아요? 미래의 성향에 악영향을 준다고 생각되지 않습니까? 참나 생각이 있는건지 없는건지
1,2018년 8월 5일," 세상에 정말 놀랐습니다 어린 아이들이 이걸 하면서 어떤 영향운 받을지 생각은 해보셨나요? 이 게임이 세상에 존재한다는 것 만으로도 너무 
혐오스럽고 사람들이 이걸 보고 배우면 어쩌나 걱정스럽네요 스크롤 밑으로 내리시면 부적절한 콘텐츠 신고가 있습니다 생각이 같으신 분들 
모두 해 주세요"
