4,2018년 12월 4일," 다 좋은데... 제가 오늘 로블록스를 하려고 게임에 들어갔거든요.... 근데... 막 ""error""라고 뜨더라구요. 다른설명 까지 길게 쭉 적혀져있구... 이게 ""에러"" 라고 적힌거 맞죠? 하.. 업데이트를 안해서 그런가 했더니 업뎃 해도 안되더라구요;; 로블록스 진짜 좋은 겜인데 꼭! 고쳐주세요!"
5,2018년 12월 4일, 이게임 버그는 걸리고요 재미 있어요 그론대 그버그가 갯속 나가저요 고처주세요ㅠㅠ 그런대 이미 만든 게임이라서 바꾸지 몼해요 그리고 로블록스2가나오며ㄴ 좋겠어요
5,2018년 12월 4일, 나무 좋아요!★★ 근데 가끔 내가 앞으로 움직이는 버튼을 안 눌렀는데 저절로 움직이는거 좀 고쳐주시면 진짜 감사하겠어요@!!!@
5,2018년 12월 4일," 넘 좋아요.! 저는아무리찾아봐도이런게이은없는것 같아요ㅎㅎ 제작자님감사합니다 .,!"
3,2018년 12월 4일, 인터넷 연결 돼있는데 연결오류 계속 떠요 와이파이 lte 다 지웠다 깔아도 똑같아요 수정해 주세요
4,2018년 12월 4일, 친구랑 하는데 친구 이름을 써도 친구가 나오지 안아요ㅠ 그리고 앞으로 가지않았는데 앞으로 가지네요ㅠ 이런것들은 고처주시면 너무 감사할것같네용ㅠ어쨌든 로블록스 정말 재미있어요!🤗
2,2018년 12월 4일, 왜안들어가지지? 제작자님 고쳐줘요!
5,2018년 12월 4일, 제미있지만한국어가아니어서아쉬어요
2,2018년 12월 4일, 아진짜 붕선껌시뮬1000m에서떨어졌어운영자
5,2018년 12월 4일," All right, Job...But...l ho pecanplay games that can be done Witnacpmputer...on a mobile pnone"
5,2018년 12월 4일, 넘 재미따..근데요. 한국어도 보내지게 해주세요...친구랑 하는데 안되요
1,2018년 12월 4일, 아닠ㅋ 왜 터치가 안되나요 몇번을 깔고 지우고했는데 터치가 안되서 로벅스 충전도 안됨
3,2018년 12월 4일, 버그좀요 풍선껌시뮬 튕김 버그
3,2018년 12월 4일, 밑으로 안내려가고 터치가 안되요
1,2018년 12월 4일, 외안되지짜게탁치네
5,2018년 12월 4일, 운동타이쿤 했는데..........운동기구가 다 안돼요 그거좀 고쳐주세요
