5,2018년 11월 4일," 이거하나 하는데 랙걸린다고 징징대는 애들은 뭐냐? 여기에 랙먹는다고 싸질러놓으면 ""제 핸드폰으로는 앵그리버드 클래식도 안돌아가요!"" 하는거랑 뭐가다르냐 이거하나로 랙먹으면 그냥 하지마. 그 똥폰으로 랙먹는다고 써서 개발자님들 괜히 욕하지말고 폰부터 바꿔라."
1,2018년 11월 2일, 아니 무슨 오류가 장난아니고 렉은 밥먹듯 하고 그런데 이건 어느정도 참을수 있는데 왜??앱 사진이 전범기가 있저??? 그건 용납할수 없네요 뜻은 알고 하세요 전범기는 나치 하켄크로이츠나 다름 없습니다. 빨리 수정하면 별3개라도 주고 싶네요
1,2018년 11월 6일, 게임 한번에 광고 한번이네요. 짜증나요
1,2018년 11월 29일, ㅅㅂ 별개수가줄어들어요 어떻게된일이나요?
3,2018년 11월 17일, 게임은 재밌는데요 광고가엄청나와요 광고좀줄여주세요 그리고 제가 1스테이지부터 마지막스테이지 다른 스테이지 전부다 힘들게 1개도 빠짐없이 다 별3개로 해서 깼었는데 어느날 다시 들가보니 전부 깼던 스테이지 들이 초기화되있고 지금 스테이지 3개 남았는데 또 리셋되면 앵그리버드 접습니다 추억으로 지금까지 하는거니깐
5,2018년 11월 24일, 재밌고 즐겁습니다.
1,2018년 12월 3일, 광고 오바임;;
5,2018년 11월 3일, 꿀잼
5,2018년 11월 17일, 매우좋음
5,2018년 10월 10일, 광고 없는 유료화를 해 주세요. 돈 내고 다운 할 생각 있음.
1,2018년 10월 21일, 이거 뭐임?이거 깔지 마세요.아니 나무를 부셨는대 왜 계속 반복되요?다음 으로 넘어가여죠.
1,2018년 10월 8일, 갑자기 왜 자꾸 게임이 멈추죠? 전엔 그런거 없었는데;;
1,2018년 10월 8일, 깔지마셈 깔면 후회함 진짜
3,2018년 10월 19일, 광고좀 어떻게해주세요
1,2018년 10월 8일, 아앙아ㅏㅇ아아아 다시 돌려줘!!!!
1,2018년 10월 23일, >< *
5,2018년 10월 28일, 굿
1,2018년 10월 1일, 오랜만에 앵그리버드에 대한 추억으로 설치를 하고 해봤다 그런데 예전과는 달라도 너무 다르다 뭔가 복잡하고 지저분하게 변했고 새를 날리기 전에 각도 나오는건 이제 아이템을 써야 가늠할 수 있게됬다 광고도 많이 뜨고 할말은 정말 많지만 이 게임 클래식이 아니다 클래식이란 이름만 건 쓰래기다
5,2018년 9월 23일, 앵그리버드 게임 시리즈 엄청 잘 만든 것 같아요. 왜나하면 앵그리버드 게임 시리즈 다 재미있어요. 새로운 앵그리버드 게임도 기대할게요.
1,2018년 9월 19일, 클래식이라고 하기에는 과거와 많이달라졌다 특히템빨
